Source,Total,Catch-all %,Specific %,Pipeline Accuracy Overall,Pipeline Accuracy on Specific
androzoo_drebin,149,22.8,77.2,0.5235,0.6783
abusech,121,81.0,19.0,0.1157,0.4783
modern_eval,63,55.6,44.4,0.4603,0.3571
AndroZoo,26,57.7,42.3,0.2692,0.6364
