Source,Total,Catch-all %,Specific %,Pipeline Accuracy Overall,Pipeline Accuracy on Specific
androzoo_drebin,149,20.1,79.9,0.6376,0.7983
abusech,121,81.0,19.0,0.0661,0.3478
AndroZoo,76,84.2,15.8,0.4474,0.8333
modern_eval,63,55.6,44.4,0.4444,0.6429
